device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),memory not used by torch (MB),cupy memory (MB)
1,,2023-05-31 16:44:30,0,81920,73675,8245,820,0
1,,2023-05-31 16:44:31,0,81920,73675,8245,820,0
1,,2023-05-31 16:44:32,0,81920,73511,8409,820,0
1,,2023-05-31 16:44:33,0,81920,73511,8409,820,0
1,,2023-05-31 16:44:34,0,81920,73675,8245,820,0
1,,2023-05-31 16:44:35,0,81920,73933,7987,820,0
1,,2023-05-31 16:44:36,0,81920,73509,8411,820,0
1,,2023-05-31 16:44:37,0,81920,73835,8085,820,0
1,,2023-05-31 16:44:38,0,81920,73835,8085,820,0
1,,2023-05-31 16:44:39,0,81920,73575,8345,820,0
1,,2023-05-31 16:44:40,0,81920,73575,8345,820,0
1,,2023-05-31 16:44:41,0,81920,73575,8345,820,0
1,,2023-05-31 16:44:42,0,81920,73835,8085,820,0
1,,2023-05-31 16:44:43,0,81920,73931,7989,820,0
1,,2023-05-31 16:44:44,0,81920,73695,8225,820,0
1,,2023-05-31 16:44:45,0,81920,73901,8019,820,0
1,,2023-05-31 16:44:46,0,81920,73901,8019,820,0
1,,2023-05-31 16:44:47,0,81920,73901,8019,820,0
1,,2023-05-31 16:44:48,0,81920,72543,9377,820,0
1,,2023-05-31 16:44:49,0,81920,73901,8019,820,0
1,,2023-05-31 16:44:50,0,81920,73901,8019,820,0
1,,2023-05-31 16:44:51,0,81920,73901,8019,820,0
1,,2023-05-31 16:44:52,0,81920,73933,7987,820,0
1,,2023-05-31 16:44:53,0,81920,73933,7987,820,0
1,,2023-05-31 16:44:54,0,81920,73609,8311,820,0
1,,2023-05-31 16:44:55,0,81920,73931,7989,820,0
1,,2023-05-31 16:44:56,0,81920,73933,7987,820,0
1,,2023-05-31 16:44:57,0,81920,73771,8149,820,0
1,,2023-05-31 16:44:58,0,81920,73771,8149,820,0
1,,2023-05-31 16:44:59,0,81920,73771,8149,820,0
1,,2023-05-31 16:45:00,0,81920,73771,8149,820,0
1,,2023-05-31 16:45:01,0,81920,73771,8149,820,0
1,,2023-05-31 16:45:02,0,81920,73771,8149,820,0
1,,2023-05-31 16:45:03,0,81920,73771,8149,820,0
1,,2023-05-31 16:45:04,0,81920,73771,8149,820,0
1,,2023-05-31 16:45:05,0,81920,73771,8149,820,0
1,,2023-05-31 16:45:06,0,81920,73769,8151,820,0
1,,2023-05-31 16:45:07,0,81920,73933,7987,820,0
1,,2023-05-31 16:45:08,0,81920,73609,8311,820,0
1,,2023-05-31 16:45:09,0,81920,73609,8311,820,0
1,,2023-05-31 16:45:10,0,81920,73933,7987,820,0
1,,2023-05-31 16:45:11,0,81920,73933,7987,820,0
1,,2023-05-31 16:45:12,0,81920,73771,8149,820,0
1,,2023-05-31 16:45:13,0,81920,73771,8149,820,0
1,,2023-05-31 16:45:14,0,81920,73771,8149,820,0
1,,2023-05-31 16:45:15,0,81920,73771,8149,820,0
1,,2023-05-31 16:45:16,0,81920,73771,8149,820,0
